Name,Type,Tag,URL
Alyssa Goldberg Portfolio,IC,"mobile, product",https://www.alyssagoldb.com/
Cassandra Tang,IC,"creative, product",https://www.cassandratang.me/
Damian,IC,"3D, motion",https://foundation.app/collection/reindex
Elizabeth Goodspeed,IC,"branding, creative, website",http://elizabethgoodspeed.com/
Haley Park,IC,"dev, product",https://haleypark.design/
Israel Kamuanga - Designer,IC,"mobile, product",https://isnk.framer.website/about
Jade Purple Brown,IC,illustrations,https://jadepurplebrown.com/
JESSICA STRELIOFF,IC,"branding, creative",https://www.strelioff.com/
JJ Bastida,IC,"dev, product",https://jjdesign.space/
Joseph Zhang – Interaction Designer,IC,product,https://www.josephz.me/skiff#icons
Joshua Kaplan,IC,creative,https://www.joshuakaplan.com
Karri Saarinen,IC,product,https://karrisaarinen.com/
laurent del rey - internet designer,IC,product,http://laurent.fyi/#Hustle
Logan Liffick,IC,product,https://www.loganliffick.com/?ref=godly
Lu Yu,IC,"3D, product, website",https://luyu.co/
Maxi,IC,"3D, illustrations, motion",https://dribbble.com/maximebourgeois
MichelleJingChan,IC,illustrations,https://www.michellejingchan.com/illustration
https://twitter.com/nchristowitz,IC,"product, website",https://nicholaschristowitz.com/projects/aware/
Nod Young,IC,branding,https://nodyoung.info/
Peter Tarka,IC,"3D, motion",https://petertarka.com/
Ryan Tauss,IC,product,https://tauss.me/
Ryo Lu,IC,"dev, product",https://ryo.lu/
Simon Daufresne,IC,"dev, website",https://simondaufresne.com/
Tiffanie Mazellier,IC,"creative, website",https://www.mazellier.design/about
Albin Holmqvist,Studio,"creative, illustrations",https://albinholmqvist.com/
Fuzzco,Studio,"creative, digital, website",https://fuzzco.com/work/
Primary | Brand Sprints,Studio,"branding, website",https://www.primary.studio/
2X4,Agency,"branding, creative, installation",https://2x4.org/
Bruno: Branding Agency,Agency,"branding, motion",https://www.bruno.co/en-us
CGH,Agency,creative,https://www.cghnyc.com/work/logos/
HelloMonday,Agency,"experience, installation, product",https://www.hellomonday.com/services
Hogarthw,Agency,"product, video",https://www.hogarthww.com/work
OCHI,Agency,deck,https://ochi.design/
Pentagram,Agency,"creative, illustrations",https://www.pentagram.com/
Pixel Point — Web Design and Development,Agency,"dev, website",https://pixelpoint.io/
Pony Studio,Agency,"branding, illustrations, product",https://pony.studio/design-work/
Radis Webflow,Agency,"3D, dev, website",https://webflow.redis.agency/
14islands | Goals Studio,,,https://www.14islands.com/work/goals-studio
Bráulio Amado,,,https://badbadbadbad.com/
"Charlota K. Blunarova. Branding, strategy & web design",,,https://www.blunarova.com/
Chloe Yan,,,https://www.chloeyan.me/
DAILY BRANDING,,,https://www.dailybranding.co/
"Dan Mall Teaches Design Systems, Design Process, and Design Leadership",,,https://danmall.com/
Design Systems International,,,https://designsystems.international/
Find 'chinese accent' on TikTok | TikTok Search,,,https://www.tiktok.com/@yovodo/video/7166032195197406506?q=chinese%20accent&t=1716689719505
Focus Lab® | Building Brands That Lead and Inspire,,,https://focuslab.agency/
"Gavin Nelson, Designer",,,https://nelson.co/about
H H,,,https://www.h-h-01.com/
Iteration is a design practice for founders,,,https://iteration.design/
Julius Tarng — Independent Software Creative,,"dev, product",https://tarng.com/
Kay Zeng,,,https://www.kayzeng.com/
kelin carolyn zhang,,,https://www.carolynzhang.com/
"Kunyang Ji | Webflow Dev, Design & Illustrate",,,https://kunyang.webflow.io/
Neo Neo,,"deck, graphic",https://www.neoneo.ch/
Off Menu - Full-Service Design Subscription,,,https://offmenu.design/
Pentagram — The world’s largest independent design consultancy,,,https://www.pentagram.com/
Project Index / Design Systems International,,,https://designsystems.international/work/
"prosku.a ",,,https://layers.to/proskua
Rachel He,,,https://www.rachelyhe.com/
Ricky Zhang,,,https://rickyzhang.me/
Robert Borghesi — Creative Dev,,,https://robertborghesi.is/
Slava Ksendziuk - Product Designer,,,https://slava.design/
SPACE10 – 2015-2023,,,https://space10.com/
Stephanie Jeong - Portfolio,,,https://jeongsteph.design/
Studio Almond | Shopify Plus Experts,,,https://www.almond.studio/
Tubik,,,https://tubikstudio.com/
we3.co,,,https://we3.co/
"Zachary Hamed - Building Clay, Previously Goldman Sachs Marquee | Forbes 30 Under 30 | Harvard",,,https://zmh.org/
